ID,Gender,Birth Date,Education,JobCategory,CurrentSalary,After6Months,SalBegin,Job Time,Prev Exep,Minority,,
81,f,03-12-1968,12,1," 24,300.00 "," 17,625.00 "," 10,950.00 ",93,5,0,,
82,f,08/28/1947,12,1," 24,750.00 "," 19,500.00 "," 14,250.00 ",93,193,1,,
83,f,10-12-1967,12,1," 22,950.00 "," 17,100.00 "," 11,250.00 ",93,0,1,,
84,f,03-12-1967,8,1," 25,050.00 "," 18,000.00 "," 10,950.00 ",93,8,1,,
90,f,02/27/1938,8,1," 16,200.00 "," 12,975.00 "," 9,750.00 ",92,0,0,,
91,f,11-04-1967,12,1," 20,100.00 "," 15,675.00 "," 11,250.00 ",92,24,0,,
92,f,06/25/1968,8,1," 24,000.00 "," 17,475.00 "," 10,950.00 ",92,6,0,,
93,f,03-05-1968,12,1," 25,950.00 "," 18,450.00 "," 10,950.00 ",92,0,0,,
94,f,08-04-1950,12,1," 24,600.00 "," 17,325.00 "," 10,050.00 ",92,44,0,,
95,f,08-08-1968,12,1," 28,500.00 "," 19,500.00 "," 10,500.00 ",92,6,0,,
99,f,07-07-1968,12,1," 22,050.00 "," 16,500.00 "," 10,950.00 ",92,5,1,,
107,f,08/16/1960,12,1," 25,200.00 "," 19,800.00 "," 14,400.00 ",91,83,0,,
108,f,07/16/1930,12,1," 21,000.00 "," 16,275.00 "," 11,550.00 ",91,108,0,,
117,f,01/14/1932,12,1," 31,500.00 "," 25,125.00 "," 18,750.00 ",90,205,0,,
118,f,03-04-1964,12,1," 31,650.00 "," 22,950.00 "," 14,250.00 ",90,48,0,,
119,f,07/23/1963,12,1," 25,200.00 "," 19,650.00 "," 14,100.00 ",90,55,0,,
120,f,11-12-1964,16,3," 37,800.00 "," 26,775.00 "," 15,750.00 ",90,7,0,,
121,f,08-06-1936,15,1," 18,750.00 "," 14,625.00 "," 10,500.00 ",90,54,0,,
122,f,09/26/1965,15,1," 32,550.00 "," 23,025.00 "," 13,500.00 ",90,22,0,,
123,f,04/24/1949,12,1," 33,300.00 "," 24,150.00 "," 15,000.00 ",90,3,0,,
124,f,05/29/1963,16,1," 38,550.00 "," 27,525.00 "," 16,500.00 ",90,0,0,,
128,f,07/25/1946,12,1," 19,650.00 "," 14,700.00 "," 9,750.00 ",90,229,1,,
134,f,11-10-1941,16,3," 41,550.00 "," 33,270.00 "," 24,990.00 ",89,285,0,,
135,f,05/22/1968,12,1," 26,250.00 "," 18,600.00 "," 10,950.00 ",89,0,0,,
139,f,06/18/1931,8,1," 20,100.00 "," 16,650.00 "," 13,200.00 ",88,90,0,,
140,f,04-05-1965,12,1," 22,350.00 "," 17,925.00 "," 13,500.00 ",88,26,0,,
141,f,06/14/1966,15,1," 35,550.00 "," 24,450.00 "," 13,350.00 ",88,32,0,,
142,f,11/13/1966,12,1," 28,500.00 "," 21,225.00 "," 13,950.00 ",88,34,0,,
143,f,08/24/1939,12,1," 24,450.00 "," 18,825.00 "," 13,200.00 ",88,107,0,,
144,f,08/28/1931,8,1," 16,650.00 "," 13,200.00 "," 9,750.00 ",88,412,0,,
148,f,10-05-1959,15,1," 26,550.00 "," 20,400.00 "," 14,250.00 ",88,61,1,,
153,f,05/13/1967,12,1," 26,700.00 "," 19,800.00 "," 12,900.00 ",87,18,0,,
154,f,06-07-1940,12,1," 20,850.00 "," 16,425.00 "," 12,000.00 ",87,163,0,,
157,f,07-02-1967,12,1," 26,550.00 "," 19,800.00 "," 13,050.00 ",87,11,1,,
158,f,09/20/1964,12,1," 27,750.00 "," 19,875.00 "," 12,000.00 ",87,11,1,,
159,f,01/13/1951,16,1," 25,050.00 "," 18,900.00 "," 12,750.00 ",87,123,1,,
164,f,08/13/1965,15,1," 29,400.00 "," 22,950.00 "," 16,500.00 ",86,24,0,,
165,f,04/29/1966,15,1," 33,300.00 "," 23,400.00 "," 13,500.00 ",86,24,0,,
166,f,07-12-1942,12,1," 21,900.00 "," 15,825.00 "," 9,750.00 ",86,156,0,,
167,f,08/26/1932,12,1," 18,150.00 "," 13,950.00 "," 9,750.00 ",86,72,0,,
168,f,04/23/1962,16,3," 46,875.00 "," 32,062.50 "," 17,250.00 ",86,19,0,,
172,f,06/13/1953,15,1," 29,850.00 "," 22,425.00 "," 15,000.00 ",86,79,1,,
176,f,10-05-1962,16,1," 35,700.00 "," 26,475.00 "," 17,250.00 ",85,19,0,,
177,f,08-11-1962,12,1," 28,500.00 "," 22,500.00 "," 16,500.00 ",85,69,0,,
178,f,01/17/1938,12,1," 17,100.00 "," 13,650.00 "," 10,200.00 ",85,72,0,,
180,f,01/23/1960,12,1," 24,000.00 "," 18,375.00 "," 12,750.00 ",85,59,1,,
181,f,01-04-1939,12,1," 27,450.00 "," 18,825.00 "," 10,200.00 ",85,101,1,,
182,f,03-08-1943,12,1," 18,450.00 "," 14,325.00 "," 10,200.00 ",85,228,1,,
188,f,02-04-1934,12,1," 34,500.00 "," 26,625.00 "," 18,750.00 ",84,208,0,,
189,f,03/28/1950,12,1," 36,000.00 "," 27,990.00 "," 19,980.00 ",84,240,0,,
190,f,11/15/1932,8,1," 29,100.00 "," 22,800.00 "," 16,500.00 ",84,35,0,,
191,f,10/23/1931,12,1," 16,500.00 "," 13,350.00 "," 10,200.00 ",84,288,0,,
193,f,07/22/1966,12,1," 24,750.00 "," 18,375.00 "," 12,000.00 ",84,41,1,,
194,f,04-10-1938,15,1," 27,150.00 "," 21,450.00 "," 15,750.00 ",84,231,1,,
195,f,11-06-1955,12,1," 26,400.00 "," 19,575.00 "," 12,750.00 ",84,36,1,,
196,f,03-03-1946,16,1," 23,100.00 "," 17,550.00 "," 12,000.00 ",84,214,1,,
208,f,11/28/1968,12,1," 24,000.00 "," 17,625.00 "," 11,250.00 ",83,16,0,,
209,f,01/14/1934,8,1," 19,800.00 "," 15,000.00 "," 10,200.00 ",83,75,0,,
214,f,09/13/1968,12,1," 20,400.00 "," 15,675.00 "," 10,950.00 ",83,9,1,,
215,f,09/15/1968,12,1," 19,200.00 "," 15,150.00 "," 11,100.00 ",83,7,1,,
221,f,05/22/1947,12,1," 24,000.00 "," 18,900.00 "," 13,800.00 ",82,97,0,,
222,f,09/15/1935,15,1," 27,750.00 "," 23,625.00 "," 19,500.00 ",82,265,0,,
223,f,03/14/1942,8,1," 22,350.00 "," 16,275.00 "," 10,200.00 ",82,48,0,,
224,f,11/20/1934,12,1," 16,200.00 "," 13,200.00 "," 10,200.00 ",82,0,0,,
225,f,10/13/1967,15,1," 21,900.00 "," 17,325.00 "," 12,750.00 ",82,0,0,,
226,f,06/21/1964,16,1," 23,250.00 "," 19,500.00 "," 15,750.00 ",82,4,0,,
227,f,07/17/1965,12,1," 33,900.00 "," 22,950.00 "," 12,000.00 ",82,11,0,,
228,f,09/21/1963,15,1," 25,650.00 "," 19,950.00 "," 14,250.00 ",82,51,0,,
229,f,08/21/1940,12,1," 17,250.00 "," 13,725.00 "," 10,200.00 ",82,358,0,,
236,f,05-02-1969,8,1," 27,450.00 "," 19,725.00 "," 12,000.00 ",81,9,0,,
237,f,06-04-1969,12,1," 22,650.00 "," 16,950.00 "," 11,250.00 ",81,0,0,,
238,f,06/15/1969,12,1," 27,300.00 "," 19,275.00 "," 11,250.00 ",81,5,0,,
239,f,09/14/1969,12,1," 27,750.00 "," 19,487.50 "," 11,225.00 ",81,5,0,,
240,f,06/15/1961,16,3," 54,375.00 "," 36,562.50 "," 18,750.00 ",81,81,0,,
241,f,08/27/1936,8,1," 17,400.00 "," 13,800.00 "," 10,200.00 ",81,390,0,,
242,f,11-03-1967,12,1," 40,800.00 "," 29,400.00 "," 18,000.00 ",81,4,0,,
243,f,02-10-1969,12,1," 23,100.00 "," 17,025.00 "," 10,950.00 ",81,0,0,,
244,f,09/15/1969,8,1," 22,500.00 "," 16,725.00 "," 10,950.00 ",81,5,0,,
245,f,03/16/1969,12,1," 26,700.00 "," 19,125.00 "," 11,550.00 ",81,18,0,,
246,f,01/14/1968,12,1," 24,900.00 "," 18,075.00 "," 11,250.00 ",81,0,0,,
247,f,05/13/1968,12,1," 19,650.00 "," 15,300.00 "," 10,950.00 ",81,11,0,,
248,f,04-09-1969,12,1," 22,050.00 "," 16,500.00 "," 10,950.00 ",81,9,0,,
249,f,05-09-1969,12,1," 25,500.00 "," 18,750.00 "," 12,000.00 ",81,11,0,,
250,f,10-10-1966,15,1," 28,200.00 "," 20,475.00 "," 12,750.00 ",81,19,0,,
251,f,01/19/1969,12,1," 23,100.00 "," 17,175.00 "," 11,250.00 ",81,13,0,,
253,f,02/21/1942,8,1," 17,100.00 "," 13,650.00 "," 10,200.00 ",81,0,1,,
259,f,03/15/1969,12,1," 19,650.00 "," 15,450.00 "," 11,250.00 ",80,5,0,,
260,f,02/20/1969,12,1," 22,350.00 "," 16,800.00 "," 11,250.00 ",80,5,0,,
261,f,03/27/1969,12,1," 23,400.00 "," 17,325.00 "," 11,250.00 ",80,18,0,,
262,f,06/20/1968,12,1," 24,300.00 "," 17,625.00 "," 10,950.00 ",80,8,0,,
263,f,10/13/1968,12,1," 28,500.00 "," 19,875.00 "," 11,250.00 ",80,4,0,,
264,f,01/16/1969,12,1," 19,950.00 "," 15,600.00 "," 11,250.00 ",80,8,0,,
265,f,09/24/1969,12,1," 23,400.00 "," 17,325.00 "," 11,250.00 ",80,0,0,,
266,f,10-07-1963,16,1," 34,500.00 "," 25,875.00 "," 17,250.00 ",80,3,0,,
267,f,08/24/1969,12,1," 18,150.00 "," 14,550.00 "," 10,950.00 ",80,0,0,,
277,f,05/20/1965,16,3," 43,000.00 "," 30,245.00 "," 17,490.00 ",79,20,0,,
278,f,06-12-1943,8,1," 20,850.00 "," 16,425.00 "," 12,000.00 ",79,70,0,,
279,f,04/16/1969,12,1," 24,450.00 "," 18,225.00 "," 12,000.00 ",79,8,0,,
280,f,10/20/1969,12,1," 24,750.00 "," 17,850.00 "," 10,950.00 ",79,5,0,,
297,f,04/16/1942,12,1," 23,400.00 "," 19,350.00 "," 15,300.00 ",78,209,0,,
298,f,08/24/1966,12,1," 24,600.00 "," 19,050.00 "," 13,500.00 ",78,47,0,,
299,f,05-11-1965,15,1," 32,550.00 "," 25,275.00 "," 18,000.00 ",78,6,0,,
304,f,09/28/1945,15,1," 25,800.00 "," 19,650.00 "," 13,500.00 ",78,51,1,,
311,f,02/15/1951,12,1," 22,500.00 "," 17,250.00 "," 12,000.00 ",77,63,0,,
312,f,03-12-1963,12,1," 25,650.00 "," 19,950.00 "," 14,250.00 ",77,64,0,,
313,f,10/25/1969,12,1," 21,300.00 "," 16,275.00 "," 11,250.00 ",77,0,0,,
314,f,11/24/1966,12,1," 29,850.00 "," 21,675.00 "," 13,500.00 ",77,38,0,,
315,f,09/19/1969,12,1," 34,500.00 "," 23,325.00 "," 12,150.00 ",77,4,0,,
321,f,10/26/1953,12,1," 22,050.00 "," 17,025.00 "," 12,000.00 ",76,6,0,,
322,f,03-02-1938,12,1," 22,500.00 "," 18,375.00 "," 14,250.00 ",76,90,0,,
323,f,05/13/1967,15,1," 25,500.00 "," 18,750.00 "," 12,000.00 ",76,7,0,,
324,f,10/14/1966,12,1," 29,160.00 "," 22,080.00 "," 15,000.00 ",76,22,0,,
325,f,11-04-1934,8,1," 16,800.00 "," 13,500.00 "," 10,200.00 ",76,76,0,,
331,f,02-04-1942,12,1," 24,450.00 "," 18,225.00 "," 12,000.00 ",75,144,0,,
332,f,05-10-1964,16,1," 33,000.00 "," 25,500.00 "," 18,000.00 ",75,26,0,,
333,f,01/26/1965,15,1," 37,050.00 "," 27,525.00 "," 18,000.00 ",75,5,0,,
334,f,05-09-1966,12,1," 24,450.00 "," 17,700.00 "," 10,950.00 ",75,32,1,,
337,f,01/27/1970,12,1," 26,100.00 "," 18,825.00 "," 11,550.00 ",74,2,0,,
338,f,08-12-1938,8,1," 15,900.00 "," 13,050.00 "," 10,200.00 ",74,43,0,,
339,f,11-07-1942,8,1," 23,700.00 "," 17,175.00 "," 10,650.00 ",74,281,0,,
340,f,05-06-1934,8,1," 21,750.00 "," 17,100.00 "," 12,450.00 ",74,318,0,,
342,f,06-01-1948,12,1," 24,450.00 "," 19,350.00 "," 14,250.00 ",74,117,1,,
345,f,05-05-1969,12,1," 22,200.00 "," 19,350.00 "," 16,500.00 ",73,7,0,,
346,f,08/16/1968,15,1," 22,950.00 "," 18,450.00 "," 13,950.00 ",73,22,0,,
347,f,08-10-1944,12,1," 23,100.00 "," 17,550.00 "," 12,000.00 ",73,228,0,,
348,f,06-11-1962,16,3," 56,750.00 "," 43,375.00 "," 30,000.00 ",73,15,0,,
349,f,03/22/1938,17,1," 29,100.00 "," 20,925.00 "," 12,750.00 ",73,375,0,,
350,f,04/21/1939,12,1," 37,650.00 "," 26,700.00 "," 15,750.00 ",73,132,0,,
351,f,01/27/1966,12,1," 27,900.00 "," 20,700.00 "," 13,500.00 ",73,32,0,,
352,f,11/26/1933,8,1," 21,150.00 "," 16,575.00 "," 12,000.00 ",73,159,0,,
354,f,05-08-1946,12,1," 20,550.00 "," 15,900.00 "," 11,250.00 ",73,154,1,,
357,f,01/18/1932,8,1," 17,700.00 "," 13,950.00 "," 10,200.00 ",72,184,0,,
358,f,04-11-1944,15,1," 23,550.00 "," 18,525.00 "," 13,500.00 ",72,49,0,,
359,f,06-12-1941,12,1," 19,950.00 "," 15,075.00 "," 10,200.00 ",72,56,0,,
360,f,08-11-1968,12,1," 29,400.00 "," 22,350.00 "," 15,300.00 ",72,30,0,,
361,f,06-09-1966,12,1," 28,800.00 "," 21,375.00 "," 13,950.00 ",72,18,0,,
362,f,04-08-1937,8,1," 16,950.00 "," 13,575.00 "," 10,200.00 ",72,319,0,,
364,f,03/26/1947,12,1," 17,400.00 "," 13,800.00 "," 10,200.00 ",72,116,1,,
365,f,10/16/1948,8,1," 21,450.00 "," 15,825.00 "," 10,200.00 ",72,194,1,,
366,f,03/21/1961,12,1," 24,750.00 "," 18,375.00 "," 12,000.00 ",72,68,1,,
367,f,05/22/1942,12,1," 16,950.00 "," 13,575.00 "," 10,200.00 ",72,271,1,,
368,f,07/20/1943,12,1," 26,100.00 "," 19,800.00 "," 13,500.00 ",72,169,1,,
370,f,01/20/1963,16,1," 36,600.00 "," 27,300.00 "," 18,000.00 ",71,12,0,,
371,f,04-05-1966,16,3," 58,125.00 "," 38,062.50 "," 18,000.00 ",71,11,0,,
378,f,09/21/1930,8,1," 15,750.00 "," 12,975.00 "," 10,200.00 ",70,275,0,,
379,f,05-12-1938,8,1," 19,650.00 "," 16,350.00 "," 13,050.00 ",70,102,0,,
380,f,02/22/1941,12,1," 21,000.00 "," 17,250.00 "," 13,500.00 ",70,82,0,,
384,f,11-11-1955,12,1," 20,850.00 "," 16,950.00 "," 13,050.00 ",70,127,1,,
390,f,11-09-1968,15,1," 24,150.00 "," 18,825.00 "," 13,500.00 ",69,7,0,,
391,f,01-12-1969,12,1," 24,450.00 "," 18,450.00 "," 12,450.00 ",69,12,0,,
392,f,05-12-1970,12,1," 21,600.00 "," 16,800.00 "," 12,000.00 ",69,0,0,,
393,f,06/24/1969,12,1," 27,900.00 "," 20,175.00 "," 12,450.00 ",69,0,0,,
394,f,02-04-1970,8,1," 29,100.00 "," 20,775.00 "," 12,450.00 ",69,17,0,,
395,f,03-09-1970,12,1," 22,650.00 "," 16,950.00 "," 11,250.00 ",69,2,0,,
396,f,08/17/1970,12,1," 20,850.00 "," 16,050.00 "," 11,250.00 ",69,0,0,,
397,f,01/17/1970,12,1," 22,950.00 "," 17,625.00 "," 12,300.00 ",69,5,0,,
398,f,11/21/1970,12,1," 30,600.00 "," 21,525.00 "," 12,450.00 ",69,5,0,,
399,f,02-06-1970,12,1," 20,400.00 "," 15,825.00 "," 11,250.00 ",69,0,0,,
400,f,08-06-1969,12,1," 23,850.00 "," 18,300.00 "," 12,750.00 ",69,20,0,,
401,f,03/14/1970,12,1," 22,800.00 "," 17,025.00 "," 11,250.00 ",69,0,0,,
402,f,02-07-1970,12,1," 20,700.00 "," 15,975.00 "," 11,250.00 ",69,2,0,,
403,f,04/28/1970,12,1," 21,300.00 "," 16,275.00 "," 11,250.00 ",69,3,1,,
404,f,05-01-1953,12,1," 24,300.00 "," 19,650.00 "," 15,000.00 ",69,121,1,,
405,f,07-12-1944,12,1," 19,650.00 "," 16,800.00 "," 13,950.00 ",69,133,1,,
410,f,01-09-1942,8,1," 25,200.00 "," 21,975.00 "," 18,750.00 ",68,344,0,,
411,f,08/21/1931,12,1," 16,200.00 "," 13,200.00 "," 10,200.00 ",68,180,0,,
412,f,06/16/1970,12,1," 22,800.00 "," 17,025.00 "," 11,250.00 ",68,2,0,,
413,f,03/13/1966,16,3," 43,500.00 "," 31,500.00 "," 19,500.00 ",68,11,0,,
423,f,04/26/1936,12,1," 22,200.00 "," 18,000.00 "," 13,800.00 ",67,196,0,,
424,f,07-06-1966,15,1," 31,350.00 "," 21,225.00 "," 11,100.00 ",67,47,0,,
425,f,01/26/1942,12,1," 20,850.00 "," 17,175.00 "," 13,500.00 ",67,181,0,,
439,f,06/25/1970,12,1," 20,400.00 "," 15,825.00 "," 11,250.00 ",66,0,0,,
440,f,11-10-1947,8,1," 24,150.00 "," 18,450.00 "," 12,750.00 ",66,96,0,,
441,f,08-02-1949,15,1," 23,850.00 "," 18,675.00 "," 13,500.00 ",66,122,0,,
442,f,09/18/1968,12,1," 29,700.00 "," 21,600.00 "," 13,500.00 ",66,26,0,,
443,f,02-10-1929,8,1," 21,600.00 "," 17,550.00 "," 13,500.00 ",66,228,0,,
444,f,09/16/1961,12,1," 24,450.00 "," 20,100.00 "," 15,750.00 ",66,87,0,,
448,f,06-05-1933,12,1," 16,350.00 "," 13,275.00 "," 10,200.00 ",66,163,1,,
459,f,02-10-1971,12,1," 21,750.00 "," 16,500.00 "," 11,250.00 ",65,0,0,,
460,f,08-12-1969,12,1," 22,500.00 "," 17,625.00 "," 12,750.00 ",65,24,0,,
461,f,11-08-1943,8,1," 21,600.00 "," 17,550.00 "," 13,500.00 ",65,173,0,,
462,f,10/18/1963,16,3," 34,410.00 "," 26,955.00 "," 19,500.00 ",65,79,0,,
463,f,10/15/1934,15,1," 20,700.00 "," 17,475.00 "," 14,250.00 ",65,241,0,,
466,f,06/15/1948,12,1," 23,400.00 "," 18,450.00 "," 13,500.00 ",64,198,0,,
467,f,08/18/1967,16,1," 32,850.00 "," 26,175.00 "," 19,500.00 ",64,20,0,,
468,f,11/28/1965,16,3," 55,750.00 "," 37,865.00 "," 19,980.00 ",64,36,0,,
469,f,06-01-1964,15,1," 25,200.00 "," 19,575.00 "," 13,950.00 ",64,57,0,,
473,f,11/25/1937,12,1," 21,450.00 "," 17,100.00 "," 12,750.00 ",63,139,0,,
474,f,11-05-1968,12,1," 29,400.00 "," 21,825.00 "," 14,250.00 ",63,9,0,,
1,m,02-03-1952,15,3," 57,000.00 "," 42,000.00 "," 27,000.00 ",98,144,0,,
2,m,05/23/1958,16,1," 40,200.00 "," 29,475.00 "," 18,750.00 ",98,36,0,,
5,m,02-09-1955,15,1," 45,000.00 "," 33,000.00 "," 21,000.00 ",98,138,0,,
6,m,08/22/1958,15,1," 32,100.00 "," 22,800.00 "," 13,500.00 ",98,67,0,,
7,m,04/26/1956,15,1," 36,000.00 "," 27,375.00 "," 18,750.00 ",98,114,0,,
12,m,01-11-1966,8,1," 28,350.00 "," 20,175.00 "," 12,000.00 ",98,26,1,,
13,m,07/17/1960,15,1," 27,750.00 "," 21,000.00 "," 14,250.00 ",98,34,1,,
15,m,08/29/1962,12,1," 27,300.00 "," 20,400.00 "," 13,500.00 ",97,66,0,,
16,m,11/17/1964,12,1," 40,800.00 "," 27,900.00 "," 15,000.00 ",97,24,0,,
17,m,07/18/1962,15,1," 46,000.00 "," 30,125.00 "," 14,250.00 ",97,48,0,,
18,m,03/20/1956,16,3," 1,03,750.00 "," 65,630.00 "," 27,510.00 ",97,70,0,,
19,m,08/19/1962,12,1," 42,300.00 "," 28,275.00 "," 14,250.00 ",97,103,0,,
22,m,09/24/1940,12,1," 21,750.00 "," 17,250.00 "," 12,750.00 ",97,315,1,,
26,m,11-08-1966,15,1," 31,050.00 "," 21,825.00 "," 12,600.00 ",96,14,0,,
27,m,03/19/1954,19,3," 60,375.00 "," 43,927.50 "," 27,480.00 ",96,96,0,,
28,m,04-11-1963,15,1," 32,550.00 "," 23,400.00 "," 14,250.00 ",96,43,0,,
29,m,01/28/1944,19,3," 1,35,000.00 "," 1,07,490.00 "," 79,980.00 ",96,199,0,,
30,m,09/17/1961,15,1," 31,200.00 "," 22,725.00 "," 14,250.00 ",96,54,0,,
31,m,02/24/1964,12,1," 36,150.00 "," 25,200.00 "," 14,250.00 ",96,83,0,,
32,m,01/28/1954,19,3," 1,10,625.00 "," 77,812.50 "," 45,000.00 ",96,120,0,,
33,m,03/18/1961,15,1," 42,000.00 "," 28,500.00 "," 15,000.00 ",96,68,0,,
34,m,02-02-1949,19,3," 92,000.00 "," 65,995.00 "," 39,990.00 ",96,175,0,,
35,m,08/22/1961,17,3," 81,250.00 "," 55,625.00 "," 30,000.00 ",96,18,0,,
37,m,10-09-1954,12,1," 29,100.00 "," 21,300.00 "," 13,500.00 ",96,113,1,,
38,m,04/27/1962,15,1," 31,350.00 "," 23,175.00 "," 15,000.00 ",96,49,1,,
39,m,06/22/1960,16,1," 36,000.00 "," 25,500.00 "," 15,000.00 ",96,46,1,,
42,m,09/23/1960,15,1," 35,100.00 "," 25,800.00 "," 16,500.00 ",95,90,0,,
43,m,01/18/1964,12,1," 23,250.00 "," 18,750.00 "," 14,250.00 ",95,46,0,,
44,m,06/15/1963,8,1," 29,250.00 "," 21,750.00 "," 14,250.00 ",95,50,0,,
45,m,08-02-1938,12,2," 30,750.00 "," 22,125.00 "," 13,500.00 ",95,307,0,,
48,m,06-07-1947,12,2," 30,750.00 "," 22,425.00 "," 14,100.00 ",94,240,0,,
49,m,09/16/1958,15,1," 34,800.00 "," 25,650.00 "," 16,500.00 ",94,93,0,,
50,m,02-09-1960,16,3," 60,000.00 "," 41,865.00 "," 23,730.00 ",94,59,0,,
51,m,07-08-1962,12,1," 35,550.00 "," 25,275.00 "," 15,000.00 ",94,48,0,,
52,m,11-12-1963,15,1," 45,150.00 "," 30,075.00 "," 15,000.00 ",94,40,0,,
53,m,04/21/1954,18,3," 73,750.00 "," 50,000.00 "," 26,250.00 ",94,56,0,,
54,m,06-04-1931,12,1," 25,050.00 "," 19,275.00 "," 13,500.00 ",94,444,0,,
55,m,06/25/1960,12,1," 27,000.00 "," 21,000.00 "," 15,000.00 ",94,120,0,,
56,m,04/16/1962,15,1," 26,850.00 "," 20,175.00 "," 13,500.00 ",94,5,0,,
57,m,04/15/1963,15,1," 33,900.00 "," 24,825.00 "," 15,750.00 ",94,78,0,,
59,m,05-07-1961,15,1," 28,050.00 "," 21,150.00 "," 14,250.00 ",94,36,1,,
60,m,02/16/1959,12,1," 30,900.00 "," 22,950.00 "," 15,000.00 ",94,102,1,,
61,m,04/28/1964,8,1," 22,500.00 "," 16,125.00 "," 9,750.00 ",94,36,1,,
62,m,07/18/1962,16,3," 48,000.00 "," 34,875.00 "," 21,750.00 ",93,22,0,,
63,m,08/20/1961,17,3," 55,000.00 "," 40,625.00 "," 26,250.00 ",93,32,0,,
64,m,09/28/1963,16,3," 53,125.00 "," 37,062.50 "," 21,000.00 ",93,48,0,,
65,m,03/28/1964,8,1," 21,900.00 "," 18,225.00 "," 14,550.00 ",93,41,0,,
66,m,02/16/1962,19,3," 78,125.00 "," 54,062.50 "," 30,000.00 ",93,7,0,,
67,m,05/28/1964,16,3," 46,000.00 "," 33,620.00 "," 21,240.00 ",93,35,0,,
68,m,05-05-1963,16,3," 45,250.00 "," 33,365.00 "," 21,480.00 ",93,36,0,,
69,m,06/23/1960,16,3," 56,550.00 "," 40,775.00 "," 25,000.00 ",93,34,0,,
70,m,02-08-1962,15,1," 41,100.00 "," 30,675.00 "," 20,250.00 ",93,27,0,,
71,m,08/26/1948,17,3," 82,500.00 "," 58,740.00 "," 34,980.00 ",93,207,0,,
85,m,04-09-1962,15,1," 25,950.00 "," 21,525.00 "," 17,100.00 ",92,42,0,,
86,m,08/25/1961,15,1," 31,650.00 "," 23,700.00 "," 15,750.00 ",92,64,0,,
87,m,10/20/1959,12,1," 24,150.00 "," 19,125.00 "," 14,100.00 ",92,130,0,,
88,m,02-10-1962,19,3," 72,500.00 "," 50,620.00 "," 28,740.00 ",92,10,0,,
89,m,06/24/1961,19,3," 68,750.00 "," 48,115.00 "," 27,480.00 ",92,8,0,,
96,m,10-02-1933,8,2," 30,750.00 "," 22,875.00 "," 15,000.00 ",92,432,1,,
97,m,01/18/1953,17,1," 40,200.00 "," 29,850.00 "," 19,500.00 ",92,168,1,,
98,m,05/17/1956,8,2," 30,000.00 "," 22,500.00 "," 15,000.00 ",92,144,1,,
